event_id,event_name,datetime,city,country,location,data_navigate
714942,One Direction,2015-07-31 19:00:00,Indianapolis,USA,Lucas Oil Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714942
714941,One Direction,2015-08-02 19:00:00,Pittsburgh,USA,Heinz Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714941
714943,One Direction,2015-08-05 19:00:00,East Rutherford,USA,MetLife Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714943
714945,One Direction,2015-08-08 19:00:00,Baltimore,USA,M&T Bank Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714945
714947,One Direction,2015-08-18 19:00:00,Columbus,USA,Ohio Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714947
717025,One Direction,2015-08-20 19:00:00,Toronto,Canada,Rogers Centre,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-717025
714949,One Direction,2015-08-23 19:00:00,Chicago,USA,Soldier Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714949
714951,One Direction,2015-08-25 19:00:00,Milwaukee,USA,Miller Park,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714951
714954,One Direction,2015-08-27 19:00:00,Cleveland,USA,FirstEnergy Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714954
714956,One Direction,2015-08-29 19:00:00,Detroit,USA,Ford Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714956
714957,One Direction,2015-09-01 19:00:00,Philadelphia,USA,Lincoln Financial Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714957
